微博ID,内容,是否原创,发布时间,发布工具,点赞数,转发数,评论数,发布位置,图片URL,视频URL
QrYuhdtGN,像雪山一样稳固 #电视剧生命树# ,原创,2026-02-15 19:52,,47623,2653,3185,,https://wx4.sinaimg.cn/wap180/001kMkx0ly1iabi7v46dyj63rt31p7wl02.jpg,无
Qr5iA6kpw,致：我亲爱的战友 我心中的雪莲队长：我一直以为等经济开发区成立就好了，人好了，生活也就好了。但我一直没有意识到，你肩负的是这片土地山河的重任，现在我明白了你守护这些的意义，队长，我太愚笨，对不起让你失望。当时知道巡山队招人我并没在意，但看到队长是多杰，就觉得我终于找到人生方向了...全文,转发,2026-02-09 23:22,,17838,1146,1767,,https://h5.sinaimg.cn/upload/2016/05/26/319/5338.gif,无
Qr10UsfY1,#轻兵器这期封面是生命树# 最新一期《轻兵器》新鲜出炉，巡山队们的英姿都被我们记录下来啦！@电视剧生命树官微 #电视剧生命树# ,转发,2026-02-09 12:27,,11855,731,1052,,https://h5.sinaimg.cn/upload/2016/05/26/319/5337.gif,无
QqB0mvzZh,【米兰冬奥会主题视频 | #冰雪荣光#】他们用青春与汗水，淬炼冰雪之上的极限；荣耀的背后，是千万次重复，是伤痛与坚韧的交织……这一刻，所有荣光尽情绽放！2026米兰冬奥会开幕在即，戳视频↓一起为中国冬奥健儿加油！#相约2026米兰冬奥会##冰雪春天# 新华社的微博视频 ,转发,2026-02-06 18:14,,15901,813,1289,,https://h5.sinaimg.cn/upload/2016/05/26/319/5337.gif,https://m.weibo.cn/s/video/show?object_id=1034:5263094868541620&fromWap=1
Qq9rUcOJw,听紫说过，所以知道这部戏拍的时候有多难，多辛苦。但看到这个画面的时候我就明白为什么紫和老胡都会觉得值得了。妹妹和哥哥，为你们骄傲，为你们加油。 ,转发,2026-02-03 20:05,,13995,687,1505,,https://h5.sinaimg.cn/upload/2016/05/26/319/5338.gif,无
QpLBkvOnX,支持好朋友们！一起来看这个发生在雪域高原的特别故事#电视剧生命树#  ,转发,2026-02-01 07:23,,25995,1033,1316,,https://h5.sinaimg.cn/upload/2016/05/26/319/5338.gif,无
QptVql2tN,#生命树意难平海报# 山知道他，雪记得他。多杰，把名字刻进高原的年轮里，成为土地本身。#生命树今晚开播##电视剧生命树# ,原创,2026-01-30 10:23,,38560,7604,4178,,https://wx3.sinaimg.cn/wap180/001kMkx0ly1i9sjvnbbfkj62th50gu1102.jpg,无
QptTPdWGT,#杨紫胡歌新剧今晚央视开播#【#生命树终极预告#】#生命树今晚开播# 信仰扎根，护一方净土，以坚守证初心，全力以赴不退缩。今起，电视剧《生命树》在CCTV-8黄金强档播出，每晚2集连播。分享↓↓@杨紫 @胡歌 @李光洁 @张哲华1649 @梅婷 @袁弘 @杨烁 @周游_希望小学周主任 @老金巴 @演员冯兵 @演员更旦...全文,转发,2026-01-30 10:19,,17041,810,1016,,https://h5.sinaimg.cn/upload/2016/05/26/319/5337.gif,无
Qp3pOCKRv,#生命树全员找赛博巡山搭子# 欢迎加入巡山队。#电视剧生命树##生命树今日定档# ,原创,2026-01-27 14:54,,27834,1198,1610,,https://wx4.sinaimg.cn/wap180/001kMkx0ly1i9paueoac5j61fr1yle8402.jpg,无
Qp1I2vYzB,#生命树今日定档##生命树进山倒计时# 踏遍川与壑，草原间仍有生生不息的赤诚。向下扎根，倾听博拉木拉的每一次心跳。#电视剧生命树# 胡歌的微博视频 ,原创,2026-01-27 10:33,微博视频号,27579,11219,6388,,无,https://m.weibo.cn/s/video/show?object_id=1034:5259647649775689&fromWap=1
